BRAND,MODEL,YEAR,ID
343,WarthogHE,15,2666
343,Warthog,15,2574
AC,Class10,15,2552
AC,Class10 HE,15,2913
ACU,IntegraR,01,368
ACU,NSX,16,2352
ACU,RSXTypeS,02,422
AH,3000,65,1481
AH,Sprite,58,1574
ALF,155,92,1393
ALF,33StradaleHE,68,2668
ALF,33Stradale,68,1549
ALF,4CHE,14,2669
ALF,4C,14,2038
ALF,8C,08,1032
ALF,GTA,65,1150
ALF,GiuliaTZ2,65,2161
ALF,Giulia,16,2542
ALF,Giulia HE,16,2916
ALF,P3,34,2122
ALF,Spider,86,1377
ALF,Stelvio,18,2975
AMC,Gremlin,73,1482
AMC,Hornet,74,3075
AMC,JavelinAMX,71,1267
AMC,Rebel,70,1572
APO,Intensa,18,3141
ARI,Atom,13,1651
ARI,Nomad,16,2430
ARM,GurkhaFF,14,2393
ASC,KZ1R,12,1451
AST,007 DBR9,06,631
AST,DB10Bond,14,3060
AST,DB11,17,2527
AST,DB11 RETAIL,17,3098
AST,DB4GT,60,1550
AST,DB5Bond,64,3047
AST,DB5Vantage,64,1105
AST,DBR1,58,1386
AST,DBSSuperleggera,19,3185
AST,DBSTF,08,2455
AST,DBSVantage,69,3024
AST,DBS,09,1081
AST,One77,10,1181
AST,V12VantageS,14,2181
AST,V12 Zagato,12,2301
AST,V8VantageBond,87,3048
AST,VanquishZagato,18,3125
AST,Vanquish,13,1636
AST,VantageGT12,16,2493
AST,VantageV600,98,1519
AST,Vantage,18,3091
AST,VulcanAMRPro,19,3211
AST,Vulcan,16,2470
AST,Vulcan HE,16,2917
ATS,GT,18,3195
AUD,1 R8LMS,14,2323
AUD,2 R15,11,1436
AUD,2 SportQuattro,86,1478
AUD,48 R8LMS,14,2322
AUD,5 R8,04,496
AUD,R8LMS,09,1200
AUD,R8PlusTF,13,2456
AUD,R8Plus,13,2010
AUD,R8V10PlusPO,16,2719
AUD,R8V10Plus,16,2473
AUD,RS2,95,1370
AUD,RS3,11,1216
AUD,RS4Avant,13,1607
AUD,RS4,01,2178
AUD,RS4,06,419
AUD,RS5,11,1417
AUD,RS6,03,420
AUD,RS6,09,1184
AUD,RS6,15,2180
AUD,RS7TF,13,2457
AUD,RS7,13,2009
AUD,S1,15,2179
AUD,SportQuattro,83,633
AUD,TTRS,10,1220
AUD,TTSTF,15,2449
AUD,TTS,15,2182
AUD,TypeD,39,2096
AUS,FX4,64,2912
AUS,Seven,24,3127
BAC,MonoHE,14,2670
BAC,Mono,14,2040
BEN,7 ContinentalGT3,14,2223
BEN,7 Speed8,03,498
BEN,8Litre,31,1372
BEN,Bentayga,16,2625
BEN,Blower,31,2976
BEN,ContinentalGTS,13,2041
BEN,ContinentalGTS HE,13,2920
BEN,ContinentalSS,17,2665
BEN,Speed6Concept,16,2490
BEN,TurboR,92,3172
BMW,1M,11,1385
BMW,2002Turbo,73,1269
BMW,80 M1,79,2319
BMW,850CSi,96,1493
BMW,93 30CSL,75,2366
BMW,98 325iFD,89,3037
BMW,E36M3,97,2671
BMW,E36M3,97,382
BMW,E46M3,05,383
BMW,Isetta,62,2412
BMW,M1,81,1040
BMW,M2,15,2156
BMW,M2,16,2477
BMW,M3E30,91,642
BMW,M3E92,08,1011
BMW,M3GTR,05,565
BMW,M3GTS,10,1598
BMW,M4GTS,16,2628
BMW,M4TF,15,2450
BMW,M4,14,2154
BMW,M5E28,88,1368
BMW,M5E28 HE,88,2921
BMW,M5E39,03,1367
BMW,M5TF,12,2458
BMW,M5,09,1126
BMW,M5,12,1388
BMW,M5,18,3071
BMW,M5,95,1418
BMW,M6,13,2018
BMW,M6 HE,13,2922
BMW,MCoupe,02,1268
BMW,X5M,11,1350
BMW,X6M,16,2431
BMW,Z4MCoupe,08,1059
BMW,Z4,11,1218
BMW,Z4,19,3173
BMW,Z8Bond,99,3050
BMW,i8Roadster,19,3114
BMW,i8,15,2133
BOW,NemesisEXR,12,1494
BUG,Chiron,17,2624
BUG,Divo,19,3168
BUG,EB110SS,92,1219
BUG,Type35,24,2066
BUG,Type57S,37,2503
BUG,VeyronSS,11,1328
BUI,GSX,70,1329
BUI,RegalGNX,87,417
CAD,ATSV,16,2262
CAD,CTSVSedan,16,2421
CAD,Eldorado,59,1509
CAD,Escalade,12,1626
CAD,XTSLimo,13,2128
CAN,Maverick,18,2871
CAP,T1,13,2129
CAT,R500,13,1652
CAT,R500 HE,13,2923
CHA,66 2E,66,1553
CHE,150UtilitySedan,55,2507
CHE,1 DW12,15,2448
CHE,67 DW12,15,2440
CHE,777 CorvetteFD,13,3232
CHE,7 SST,13,2143
CHE,9 DW12,15,2445
CHE,BelAir,57,1459
CHE,Camaro1LE,18,3149
CHE,CamaroIROCZ,90,1033
CHE,CamaroSS,69,289
CHE,CamaroZ28,15,2183
CHE,CamaroZ28,70,1330
CHE,CamaroZ28,79,1064
CHE,CamaroZL1,17,2739
CHE,CamaroZL1 RETAIL,17,3099
CHE,Chevelle396,67,1420
CHE,ChevelleBJ,70,3040
CHE,Chevelle,70,299
CHE,ColoradoZR2,17,2847
CHE,CorvetteGSFF,63,2387
CHE,CorvetteStingray,67,312
CHE,CorvetteZ06,02,314
CHE,CorvetteZ06,15,2177
CHE,CorvetteZR1,09,1069
CHE,CorvetteZR1,19,3118
CHE,CorvetteZR1,70,315
CHE,CorvetteZR1,95,2006
CHE,Corvette,20,3369
CHE,Corvette,53,1564
CHE,Corvette,60,1093
CHE,DebertiDriftTruck,18,3088
CHE,ElCaminoSS,70,1291
CHE,HooniganBelair,55,2728
CHE,HooniganNova,72,2729
CHE,ImpalaSS,64,1300
CHE,ImpalaSS,96,1379
CHE,LUVHW,72,3397
CHE,LolaT9000,90,2078
CHE,MonteCarlo,88,1575
CHE,NovaSS,66,1354
CHE,NovaSS,69,1429
CHE,NovaSS HE,69,2925
CHE,SS,14,2134
CHR,ChargerE49,72,2581
CHR,Cuda426,71,1277
CIT,2CV6Bond,81,3070
CIT,2CV,70,2157
CIT,DS23,75,2432
CIT,DS3Racing,11,1665
DOD,43 ViperFD,06,3003
DOD,ChallengerHellcatBT,15,2545
DOD,ChallengerHellcatHE,15,2676
DOD,ChallengerHellcatPO,15,2720
DOD,ChallengerHellcatTF,15,2451
DOD,ChallengerHellcat,15,2263
DOD,ChallengerHemi,70,639
DOD,ChargerDaytonaFF,69,2388
DOD,ChargerDaytona,69,1063
DOD,ChargerFF,68,2396
DOD,ChargerFast7,70,2280
DOD,ChargerRT,69,513
DOD,ChargerSRTHellcat,15,2468
DOD,Dart,68,1332
DOD,Demon,18,2909
DOD,Durango,18,2839
DOD,ViperACR,16,2544
DOD,ViperGTSACR,99,483
DOD,ViperSRT10ACR,08,1046
DON,D8GTO,13,2105
EAE,Speedster,12,2908
EAG,Talon,98,462
EXO,ExocetOffRoad,18,3089
FER,117 599FD,18,3249
FER,166MMB,49,2556
FER,24 330P4,67,2793
FER,250GTLusso,63,1578
FER,250GTO,64,249
FER,250GT,60,1271
FER,250LM,65,2268
FER,250TestaRossa,57,1154
FER,355Berlinetta,94,253
FER,360Challenge,03,297
FER,365GTB4,68,1318
FER,375,52,2070
FER,458SpecialeTF,15,2459
FER,458Speciale,15,2184
FER,488GTBPO,16,2721
FER,488GTB,16,2467
FER,488Pista,19,3227
FER,500TR,54,2186
FER,512S,70,3062
FER,512TR,91,255
FER,575,02,257
FER,599GTO,11,1319
FER,599XXEvolution,12,1599
FER,599XX,10,1171
FER,812SuperFast,18,2974
FER,CaliforniaT,15,2194
FER,Dino246,69,326
FER,Enzo,02,333
FER,F12,13,1570
FER,F12tdf,15,2577
FER,F142TF,10,2501
FER,F142,10,1131
FER,F151,11,1389
FER,F40Competizione,89,1023
FER,F40,87,340
FER,F430Scuderia,07,1022
FER,F50GTWP,96,3464
FER,F50GT,96,1020
FER,F50,95,342
FER,FXXK,16,2371
FER,FXX,05,1006
FER,GTC4Lusso,17,3122
FER,GTO,84,358
FER,LaFerrari,13,2034
FER,Portofino,18,3225
FIA,124Spider,17,2740
FIA,124Spider,80,2195
FIA,131AbarthStradale,80,1124
FIA,500AbarthSS,10,1115
FIA,595SS,68,2017
FIA,695Abarth,16,2489
FIA,8VSupersonic,53,1555
FIA,DinoCoupe,69,1615
FIA,X19,75,1579
FOR,11 F150TrophyTruck,14,2517
